;rating;comment
2307;9;BASF has quality and confidence in the products it sells.
2308;10;Good product and service
2309;10;I consider Basf to be a strategic and reliable partner, foresee the crises that give us security in the construction of strategies and involve them.
2310;10;Good relationship and portfolio
2311;10;Service and quality
2312;10;Quality and reliability
2313;10;Positive experience so far
2314;9;I work and know the brand for years and I know the products are of excellent quality.
2315;8;HIGH QUALITY PRODUCTS
2316;9;confidence in products
2317;10;An excellent company
2318;10;BASF has great product development. It still needs to work on financial policies to better meet market demands.
2319;10;Partnership with extremely upstanding professionals in negotiations.
2320;10;Basf shows partnership and commitment to the products it sells.
2321;9;Company with cutting edge products on the market. Products that meet the needs and expectations of farmers and recommenders. Always punctual in its actions and with respect to the customer and supplier. Friendly and always helpful staff.
2322;8;for being an excellent quality product
2323;8;Solid company and product quality
2324;9;For professionalism, partnership and commitment to customers
2325;8;High-tech products that deliver good results to the customer
2326;9;Great commercial service, logistics, quality in delivery and product.
2327;9;Commitment to commercial competitiveness and delivery.
2328;10;Basf is a trusted brand and has competent professionals who convey safety and reliability.
2329;9;Great quality products
2330;10;Good product line. Deficiency in trade policy.
2331;9;Basf is synonymous with quality products
2332;8;For the transparency, reliability, attention to us as resellers and for the satisfactory results we have in being an exclusive BASF customer.
2333;8;BASF is an excellent company to establish a partnership with! Some points just need improvement!
2334;10;Professional and partner company.
2335;10;We have been a BASF Partner for a long time and we have complete confidence in the quality of the BRAND
2336;9;The brand gives us security
2337;8;Company that in fact establishes a partnership.
2338;10;Partner who always serves us very well
2339;10;Technically one of Marelli's best partners
2340;9;BASF has shown an increasingly strong partnership over the years and has supported us very actively in times of crisis, in addition to supporting the development of new products and excellent technical support when necessary. The sales team is very competent, active and present to the customer, always looking for solutions at competitive costs.
2341;10;Great supply service to our needs.
2342;8;Very effective and fast technical assistance focused on the needs and adjustments needed in different processes and areas.
2343;8;"Good afternoon, my score is 10 because I am very satisfied with the service and commitment of everyone who serves me, especially Alessandro Zago, Elide Oliveira, Pedro Vale for their professionalism, agility and interest in helping.
 Thank you very much"
2344;10;Product Reliability (Quality), Excellent Technical Assistance and On-time Service.
2345;10;the company is friendly to do business. company representatives are attentive. the company complies with its agreements fairly.
2346;10;"Impeccable service
 Punctuality
 Quality products"
2347;9;in my opinion basf is the best company to be nominated
2348;8;Product quality and delivery
2349;8;It is a transparent, trustworthy company that meets all our needs.
2350;8;for transparency, commitment and respect for its employees, customers and consumers.
2351;9;FOR THE GOOD PARTNERSHIP WE HAVE WITH BASF
2352;10;Solid company in the Agro segment, high performance products and a capable and qualified team to serve with the Cooperative
2353;8;Viva Cor tintas sees BASF as its main business partner, not only for the sum of skills that this link represents, but also for having together a focus on strategic actions in the market, by maximizing business (even in the period considered critical by the but mainly due to the excellent service provided by the commercial team that serves us.
2354;9;partnership and trust
2355;9;Basf is a company that presents high quality products and provides excellent results in the clients' crops.
2356;10;Quality Products, suitable company.
2357;10;Safety and quality.
2358;9;By product line, product quality and delivery as agreed.
2359;10;Basf has become our main partner in our business. We always count on the professionalism and competence of those who serve us and we are satisfied.
2360;9;Great service.
2361;8;Excellent product quality and technical service in addition to product delivery as planned.
2362;9;There were some delays in product deliveries.
2363;10;confidence
2364;9;We are very confident in doing business with BASF
2365;10;Products with a high level of safety, quality, efficiency and technology.
2366;10;Quality and reliability.
2367;10;Quality products with good acceptance by farmers
2368;9;Suvinil, in addition to being the market leader, is synonymous with quality, modernity and sustainability.
2369;8;NOTE: This grade is for the product and not for the company's marketing policy.
2370;8;Good products
2371;9;The great service I have received from the BASF team
2372;9;Good company
2373;9;Quality brand !
2374;9;Good products. Good service.
2375;10;Good opportunities to bring technology and innovation to products.
2376;10;Technical assistance provided by the company.
2377;8;Excelent reception
2378;9;Serious company committed to the entire chain.
2379;8;For good service, partnership and product quality.
2380;8;Very good service, accurate information and proactivity with customers.
2381;9;GOOD RELATIONSHIP
2382;10;Portfolio, credibility and partnership.
2383;10;great product portfolio
2384;10;It has products with excellent performance and safety in their use.
2385;10;Qualified and responsible technical team, acting proactively.
2386;9;Company with tradition, seriousness, and high performance products
2387;10;Quick feedback on quotes and order tracking, even when we face problems either from shipowners or FM.
2388;10;COMPANY THAT PRESERVES ALL THE NECESSARY STANDARDS FOR ITS IMAGE WORLDWIDE, IN ALL AREAS OF ACTION.
2389;8;good quality
2390;8;1st quality ink
2391;8;Quality in products
2392;9;product reliability and performance
2393;8;For being a partner company of the rural producer.
2394;10;"Excellent portfolio
 Quality products
 Records for HF"
2395;10;Great products and great service
2396;10;excellent supplier & manufacturer
2397;9;Excellent products, great quality and responsive customer service / store.
2398;8;For the excellent service and the great line of products available.
2399;8;Portfolio, partnership, history, quality ....
2400;9;Serious and dedicated company to promote itself in the market
2401;10;Because it is a reputable company, which has a portfolio that serves the main cultures of the country and also because it is a totally reliable company
2402;9;Product quality, service and transparency!
2403;10;Company of excellent credibility and with products, in addition to efficient, of excellent quality.
2404;8;Exceptional company great service always helpful
2405;9;Product quality, seriousness and transparency of all Basf employees.
2406;9;efficiency and portfolio
2407;8;Relationship
2408;8;Company with good references and products in the market
2409;10;Structured and organized company to meet the demand of the segment in which it operates.
2410;9;Quality Products, well-defined market strategies and Quality Managers who support and support us whenever we need it.
2411;10;Portfolio that serves
2412;9;Relationship, transparency, quality, security, trust, deliver what's in the can.
2413;8;Soybean quality and portfolio
2414;9;company would be, excellent quality products and competent professionals!
2415;9;Serious and dynamic company, excellent quality products.
2416;9;I trust the company fully, not only in the strategies, but also in the people involved and who serve us.
2417;8;service and product quality
2418;8;Product quality, prompt service and commitment to problem solving.
2419;8;A solid company, in our state it is a leading leader, it has quality, premium products, whenever I needed it, I was always very well attended.
2420;8;COMPANY OF GREAT CREDIBILITY, GOOD QUALITY PRODUCTS, COMPLETE PORTFOLIO FOR ALL CULTURES, MEETS ALL NEEDS OF A RESALE.
2421;8;Quality assurance and because it remains exclusive for a long period due to the great service provided by its salesperson Jacqueline
2422;10;Reputable company, with good commercial practices and good products
2423;9;"Excellent portfolio company, with very high efficiency and supreme quality!
 Company with a vision of the future and sustainability projects."
2424;10;The guarantee of products of excellence, excellent cost benefit.
2425;9;Serious company, maintains solid partnership with its resellers, products with excellent quality. Innovative company that always seeks to be ahead of the market.
2426;10;There are some opportunities for improvement, mainly in the search for 100% volume attendance and/or if you are an exclusive supplier.
2427;8;product portfolio
2428;9;the products in the portfolio when recommended and positioned at the right times and targets have a good performance
2429;10;despite several internal changes at BASF for my region, the company conveys a lot of trust and respect for its customers.
2430;8;Mainly for the support and attention, that the employees of Basf, when we need it.
2431;10;For the quality of the product
2432;8;Highly efficient products, with cost within the market and with technical support from behind.
2433;8;Quality
2434;10;Products of extreme quality and renowned brand in the market.
2435;10;"Good company, ethical, correct.
 Good products and good professionals."
2436;9;Serious, reliable company impossible not to recommend.
2437;9;Proven excellence product, recognized brand, added value!!!
2438;9;Basf has high quality products and greatly improved technical assistance on the last day.
2439;8;Basf has a very good partnership with GB and great products
2440;10;Product portfolio
2441;9;High performance products
2442;10;for the seriousness of the company at all times. for the concern with their actions and actions both internally and externally.
2443;9;Excellent service.
2444;8;reliability in dealings.
2445;8;Excellent company to work with!
2446;9;Reference company in agricultural inputs.
2447;9;EXCELLENT PORTIFOLIO AND QUALITY OF PRODUCTS, EXCELLENT SERVICE.
2448;9;Product effectiveness, provision of technical information and support.
2449;10;EXCELLENT PRODUCT QUALITY, FAST DELIVERY AND CONSUMER COMMITMENT
2450;9;Company committed to always assisting the supplier
2451;8;EXCELLENCE IN THE PROTIFOLIO AND SERVICE
2452;10;High quality product and delivers your income and coverage.
2453;8;Excellent company in everything and wonderful products.
2454;10;Even though I am not buying with Basf, I am interested in buying again and the purchases were correct for the moment and both parties fulfilled the agreement.
2455;9;Quality
2456;8;Reliable company with solid guidelines.
2457;8;"I would rather recommend BASF to a friend or colleague because it is a serious company.
 focused on research and product development, high quality and efficiency, market leadership and focus on farmers' sustainability."
2458;8;Excellent product quality and service.
2459;9;Excellent quality product , so I recommend it with your eyes closed
2460;8;Company in which it provides the technical staff with sufficient security in the recommendations, through its products of the highest quality and efficiency.
2461;10;Company that generates trust. Solid and with quality products.
2462;10;Quality and credibility
2463;8;Good technical level team and a great Portifolio company for our cultures. You just need to worry about further improving the level of information about your seed work.
2464;10;Basf synonymous with quality and innovation
2465;10;The supplier is very attentive to the needs of the plant in Brazil / Latin America and proactive in communication (eg: current supply crisis). Despite the increase in volume at the Brazil plant in 2020, we had few service themes and in a few cases the supplier was able to offer solutions and meet them. Faced with feedback received from the Brazil plant, it has been seeking to offer alternatives for improvement (planning process, forecast review).
2466;10;Brand quality and reliability.
2467;9;Suvinil ink is synonymous with quality
2468;10;The quality of the products linked to this brand stands out among the others.
2469;10;Market-leading company that has been positioning itself to always remain in the lead
2470;10;service, reliability of products and delivery
2471;10;Basf not only provides quality reagents, but also technical support, which makes all the difference. The team that serves me is very professional, has high technical knowledge and is always willing to help. For sure my grade is 10!
2472;8;team always willing and ready to serve
2473;9;The products of the Basf line we use are efficient and of excellent quality. Basf has a great after sales.
2474;9;Great quality products and competent people!
2475;9;Excellent quality product in addition to having elusive colors.
2476;9;I identify with the brand and have admiration for suvinil.
2477;10;"I HAVE PARTNERSHIP WITH BASF FOR 26 YEARS.
 COME WORKING OUT."
2478;10;They are highly efficient products, with good modes of action and beyond control, they always bring a physiological benefit to plants.
2479;9;It is a long-time partner supplier and provides great technical support.
2480;9;Reliability
2481;10;Products with superior quality, market leadership, approved by painters
2482;9;Quality, service, availability.
2483;8;Quality of products and professionals involved in the operation!
2484;8;SUITABLE COMPANY
2485;9;Reliable company, very clear in its negotiations and expectations. Employees reflect a lot of professionalism and commitment in their functions.
2486;8;Company with proven credibility. Recognized as one of the leading companies in the market. would be in business
2487;8;I am accredited by Basf since the beginning of the Clearfied seed multiplication process, I have TSI in lending with Basf, we are in the SEMEAR program, we use the entire Basf portfolio in soybean and rice crops, we believe in BASF efficiency and technology.
2488;10;Good products
2489;8;Reliable, serious and very partner company.
2490;9;Excellent service.
2491;8;Very professional, helpful service.
2492;10;We have always been well served by BASF.
2493;10;GREAT SERVICE AND QUALITY
2494;10;Most likely I would recommend Basf, as the products are stable and we can always count on technical support.
2495;9;Excellent technical support and relationship.
2496;9;high quality technical product
2497;9;Technical Quality
2498;9;products with good performance in the cultures indicated
2499;8;We had supply problems that ended up causing relocation of production, cancellation of overtime and inconvenience with customers. As we have BASF as the exclusive supplier, we believe that the deals should be different.
2500;9;For the efficiency of the products, for the great service.
2501;8;Easy to talk to plant members. Joint solutions are easily implemented and well conducted.
2502;10;Reliability and strong partnership.
2503;9;Quality, commitment.
2504;9;Exceptional quality in products and service.
2505;9;"Basf has a good portfolio of products for agriculture and good sales service.
 has problems in the availability of products and often delays in deliveries."
2506;8;Product quality, portfolio
2507;9;reliable company
2508;9;"The service and support is provided by a professional with a high level of training and efficiency, who values fast and quality service, always seeking to exceed the expectations of their customers.

 BASF is an important partner of CBMM, focused on the development of new technologies in the mineral process, which I indicate without restrictions as to the supply/service performed by the same."
2509;10;excellent service
2510;8;A reputable company, which transmits security in the use of its products, for being honest and reliable.
2511;8;quality of products and services
2512;10;For being the most important company in this segment, why I trust BASF and the people who make up its team.
2513;8;excellent product quality and good service.
2514;8;excellence in everything they do, good relationship.
2515;9;Because it has qualified professionals, talented and committed to results and its customers.
2516;10;Among the biggest companies in the WORLD in Technology!
2517;8;Excellent company, great team, tradition and reliability
2518;10;Quality products.
2519;9;trustworthy company
2520;8;Good quality products and great service
2521;8;BASF is an internationally renowned manufacturer in the line of agricultural pesticides and other segments, with leading products in the market, excellent quality and efficiency.
2522;10;Technical service and product quality.
2523;10;Company seriousness
2524;8;Brand, reliability, organization
2525;8;Great commercial service.
2526;10;Products of excellent quality, durability and resistance after application.
2527;9;Excellent technical expertise associated with an extremely partner team that goes beyond customer service. It brings a quick solution, is always available and very proactive when it comes to innovation. All praise to the BASF team, no exceptions.
2528;8;satisfactory service
2529;10;It is an excellent, reliable supplier and its products perform very well. In addition, the attention of the commercial area is excellent.
2530;8;High quality of its materials
2531;9;For the excellent raw materials in terms of quality and innovation
2532;9;It is a company that is not only dedicated to the commercialization of the products in its portfolio, but also supports the development of tailor-made strategies, with the accompaniment of technicians from the same company.
2533;9;By quality of products and services
2534;10;Excellent quality and technical support
2535;8;for the quality of its products and personalized attention from its sales representatives
2536;10;Basf, it's serious, innovation
2537;10;everything is perfect with Basf, but like everyone else in the order of life, surely there is always something to improve
2538;8;Provide good service
2539;8;Quality of your products
2540;9;Product quality and safety
2541;10;Excellent products, competitive prices, great technical and sales support, marked interest in the POG of its marketers and consequently permanent interest in the inventories of its commercial partners.
2542;9;Portfolio, structure and support
2543;9;Although there is a portfolio that offers many benefits, I have seen a lack of follow-up on the part of the commercial team to the agreements made.
2544;10;Excellent
2545;8;For the quality of the products it sells.
2546;10;The confidence that the Agricultural portfolio has generated over the years and the response that farmers give to the frequent use of them for the protection of their crops.
2547;10;for the quality of the products and delivery time
2548;9;Excellent portfolio, innovation, research, development of new products, technical team with high knowledge of the market and the needs of the area. Teamwork and positive results.
2549;8;Quality and Support
2550;9;Good company, good technicians, first-rate products
2551;10;Quality and service of the new area. Good disposition with vendors and customers.
2552;8;"I would recommend it because the products are very good, in addition the southern zones do a great follow-up to the cultivation and farmers.
 The big problem we have with basf is that the competition bursts prices and all our recommendations in the end do not lead to a closure on our part."
2553;9;THE QUALITY OF THE PRODUCTS
2554;8;Quality products whose benefits are many in relation to the competition.
2555;10;because they are products they are very good since they can be recommended with complete security.
2556;8;good quality products, sometimes more expensive than alternatives
2557;10;Quality and reliability of products, on-site advice
2558;8;because they are quality products
2559;8;Good quality and effective products.
2560;9;For the quality and effectiveness of the products
2561;9;Quality of its products and commercial technical attention.
2562;10;They are very close and always have a solution
2563;10;Seriousness
2564;8;"good quality products
 Good cost-benefit ratio
 Wide product palette
 If you don't have 10, why do you need more support on the ground?"
2565;8;xxx
2566;8;For the attention received and the quality of the product.
2567;8;Innovative company, with a lot of support and with high quality products.
2568;9;For the quality, reliability and robustness of the products
2569;8;For product quality.
2570;8;For the quality of its products
2571;10;The company is very serious and the products are very good. They have good presentation and quality in their formulations
2572;10;Posse a wide line of products of very good quality
2573;10;Quality and robustness
2574;9;It is a supplier that meets our needs in a timely manner, offering a product that meets specifications.
2575;10;Very good experience in the whole process of buying the products, super compliments and the coordination with basf chile is fast and fluid.
2576;10;they are products of excellent quality.
2577;8;Very good quality of products
2578;10;The products are excellent, but the way in which BASF ensures respect for the structure of the market among the different players (distributors) is not the most appropriate.
2579;10;Due to the high quality of its products, the excellent attention from Ing Guillermo Aguirre, Iliana Ariola and the Sales representative, Ing Axel Gil, the missing point is due to the lack of response in the emails sent when asking about availability of certain products, NOTHING THAT CANNOT BE improved, otherwise Excellent
2580;8;BECAUSE THEY ARE A COMPANY COMMITTED TO THEIR CUSTOMERS
2581;8;The quality of products
2582;9;I don't give it a 10 because there is always something to improve. But I think it is a serious company, with serious collaborators and reliable and effective products.
2583;10;Very high quality and efficient products.
2584;10;BASF is one of our leading brands in the flower market due to the quality and effectiveness of its products.
2585;9;Excellent quality of products
2586;10;good quality products
2587;10;fulfillment in deliveries
2588;8;Support and quality
2589;8;They are good quality products
2590;8;"Agricultural Technical Personnel with vast knowledge of BASF products and their applicability.
 Customer Service, with excellent attention and follow-up to orders and deliveries"
2591;10;Excellent service.
2592;10;BASF = QUALITY 100%
2593;10;It is a great company with good products. The people I have had relationships with from BASF I always see them with great enthusiasm and passion for what they do.
2594;9;They are a very reliable brand and their products are of high quality.
2595;10;Products of indisputable quality
2596;10;Great Products, Financial Solutions, Customer Service
2597;8;They are products of a high quality, leadership in the industry and credibility among end customers.
2598;9;EXCELLENT COMPANY, WITH VERY GOOD PRODUCTS.
2599;9;Excellent attention from the Sales Manager. Excellent quality of products.
2600;8;They assist us in technical support of their products and present us with new technically supported products.
2601;10;Service, Cordiality and Product Quality
2602;9;Products of very good quality and efficiency in the field
2603;9;THEY HAVE GOOD PRODUCTS, but very little business flexibility
2604;10;The products are effective and very good quality
2605;8;Reliability in product quality and performance
2606;9;Quality of Supplies and Professionals
2607;9;"Initiative
 Quality
 honor of agreements"
2608;9;Very serious supplier with a very professional team
2609;8;Because the quality of the MP is very good
2610;8;Because we have always had a very good response in terms of our Raw Materials orders, in addition to their quality.
2611;9;For the quality of its products
2612;10;Product quality, spectacular attention !!!
2613;8;because it is very reliable both colors and accessories.
2614;8;For the quality of the products, supporting documentation and support.
2615;8;by your attention..
2616;9;It is a very serious company that works actively so that Agro continues to develop. It has a very good quality of products.
2617;9;very reliable product in the use of our drilling mud programs.
2618;10;Excellent attention, committed to its clients, excellent material. The two minus points are simply for some occasional arrears that we have suffered.
2619;10;seriousness and commitment
2620;8;Quality of service / products and technical performance
2621;8;is a company that has excellent responses to the needs of its customers
2622;8;BECAUSE THEY ARE TRUSTED PRODUCTS, IN ADDITION TO FINANCING AND PAYMENT ALTERNATIVES.
2623;10;They have developments and products that allow me to be permanently offering new products
2624;8;Quality, responsibility and customer service
2625;9;Service and Quality !!
2626;10;"Good logistics; good accompaniment of commercials; good products and full palette and ease of operations."
2627;10;The quality of products
2628;10;I would recommend it for the technical support, for the company and all its development in the country.
2629;9;It is a serious, innovative company that conducts research and development of its own products.
2630;8;"Reliable, safe, technological.
 Somewhat expensive, not very flexible."
2631;10;reliable products
2632;10;It is a company committed to the needs and expectations of the client. Keep your commitments
2633;8;IT IS A RELIABLE AND INNOVATIVE COMPANY
2634;8;The service via the world account is very satisfactory and expedites the shopping issue. The communication with the arrival of the order is very valuable and all that adds up to be able to recommend them.
2635;8;The performance of the products is very good, as well as the service and support of the company is good.
2636;8;High quality products!
2637;8;TECHNICAL SUPPORT AND ASSISTANCE IN FRIOMULATIONS OF NEW DEVELOPMENTS
2638;10;good product
2639;9;Good products, good prices and good service.
2640;9;"1. Excellent delivery logistics, one constantly knows the status of the order.
 2. The new automatic submission system for COAs is amazing.
 3. The availability of stock, constant, there are never shortages."
2641;8;Very reliable and deliveries are always on time
2642;10;Very good service and close to the Customer!
2643;9;Trust in products
2644;9;quality and innovation, trust, presentation
2645;10;very good products, committed and responsible company
2646;9;For reliability
2647;8;Good quality
2648;8;"Very good technical support
 Excellent customer service
 Transparency
 Undoubted quality"
2649;10;Good products, very good technical service
2650;8;Quality Products.
2651;10;Excellent customer service!
2652;8;For the quality of products.
2653;8;It is a serious, reliable company and offers products with cutting-edge technology.
2654;10;The portfolio and technical quality of its products have excellent technical support.
2655;10;PRODUCT QUALITY, DELIVERY EFFICIENCY
2656;9;I would recommend it because the products are of quality and the attention to the areas is also very good.
2657;10;Good service / quality, among others,
2658;10;I would recommend Basf both for the quality of the products they provide and for the Technical Support they provide, both locally and regionally.
2659;10;"for being with the client permanently, whatever the reason.
 #commercial motive
 #technical reason
 # or other reasons (complaints, etc)"
2660;10;Adequate price / product ratio, good technical service.
2661;9;product quality, business seriousness
2662;10;"Product quality
 Portfolio diversity.
 Sustainability"
2663;8;"Excellent professional attention. Personalized treatment is highly recommended and highly supportive of our plant work.
 The products are of proven quality and well suited for our solvent extraction processes."
2664;10;Excellent disposition and coordination in everything related to information, tests and products that we need for our development
2665;10;Respect for the agreements - Quality in the marketed supplies - Personalized attention.
2666;9;Quality products, serious business, trained people giving support.
2667;8;"Quality of products.
 Technological innovation.
 History of the Company."
2668;10;"It is a VERY PREPARED BRAND for this area such as automotive repainting.
 TECHNOLOGY AND EXCELLENT SUPPORT."
2669;8;For having many companies committed between large and small leading the BASC for many years in Colombia and the USA, for having great professionals committed to companies and the country, at the national and international level of security and economic growth, for constant training in legal issues and of mandatory compliance, for the accompaniment.
2670;10;Good products and good purchase order management
2671;10;For the quality of its products also for being a very responsible company with the environment as well as its investment in constant development
2672;10;For the good performance of its products and services.
2673;10;It is a very serious and solid company with which we are doing very good business
2674;10;Products of quality and efficiency recognized in the market, quick response from the commercial manager of our account
2675;8;Solutions, quality, support
2676;10;Complete portfolio of raw materials and technical support for product development.
2677;9;Presentation, Quality, Punctuality in deliveries
2678;9;Product quality and reliability, support from the initial stages of the project to eventual failures in the field
2679;8;"Quality of the products supplied.
 Technical support offered"
2680;8;The BASF group is a long-standing partnership in which it has become one of the main suppliers of Mar-Girius due to deliveries made on the agreed dates, cost and terms.
2681;10;Wide portfolio of solutions for the farmer, products that meet expectations
2682;10;"Positives:
 * Release service
 *Follow-up return

 Opportunities:
 * Information on the date and time of delivery of materials to the carrier."
2683;9;Company very committed to the development and very good service!
2684;8;QUALITY
2685;10;Very satisfactory and competent company in what it does.
2686;8;excellent products for the solution of the problems of the producers
2687;8;COMPANY OF EXCELLENT QUALITY BOTH OF ITS PRODUCTS AND SERVICE
2688;10;For the quality of its products
2689;8;"Good service.
 Easy negotiation.
 Delivery of products on time.
 Easy redemption in the points program."
2690;10;Good service, delivery of goods on time.
2691;10;Staff very attentive and attentive to our demands. Always serving us very well, with a lot of professionalism.
2692;8;Company focused on the customer, always bringing innovations and services tailored to their needs.
2693;9;Product quality
2694;10;Great company to work for.
2695;9;Availability and succinct service and product quality.
2696;10;Service from the professional Julio Franz, reflects the ethics, clarity of the company.
2697;8;Consolidated non-market company.
2698;10;Products in the portfolio with high performance adding to the property
2699;10;Excellent quality products and results
2700;8;Great products, good service but portfolio limited to some crops of interest in the area.
2701;10;Credibility
2702;8;It has quality and very competitive products.
2703;9;They have an interesting portfolio for our market, however there is no financial-credit flexibility
2704;10;for the quality of its products and its good customer service.
2705;8;Our attendant (Ivone) was always very helpful and attentive, answering phones and responding promptly to emails. However, this frequent lack of materials and also the price increases make the grade not a 10. Thank you!
2706;8;Excellent communication.
2707;9;Regarding quality, nothing to declare. But in the last few months we have suffered due to a lack of material.
2708;10;Professional Company concerned with the needs of its client, and always working with committed professionals to raise the bar of relationship and quality.
2709;10;COMPLETELY RELIABLE INDUSTRY AS TO THE CONTINUED QUALITY OF THE PRODUCTS, AND THE QUALITY OF APPLICATION, FINISHING.
2710;10;a great brand , product that sells itself
2711;10;Serious and reliable company.
2712;8;Company with numerous material options.
2713;10;commercial service and punctual delivery
2714;9;Commitment and good service from the Account Manager, Punctuality in deliveries, , Product quality and good service.
2715;9;Good service, always responsive and efficient logistics.
2716;8;Great quality product.
2717;9;it is a reputed brand and they are good products
2718;8;For its products that are effective.
2719;10;quality and reliability
2720;8;product quality
2721;8;Recognized brand, product quality
2722;8;Excellent quality products.
2723;8;Fast service, commitment.
2724;10;They are products very well positioned in the market
2725;8;Recognized and prestigious brand
2726;8;important and active representation
2727;9;GOOD COMPANY
2728;9;The service we have today is very good at grade 9 because we can always improve something.
2729;10;THE GRADE JUST IS NOT HIGHER BECAUSE IN MY REGION WE HAVE A LOT OF PRICE CONFLICT WITH LARGER COMPANIES, WE ARE ALWAYS WALKING BEHIND THEM, QAUSE WE NEVER HAVE THE SAME PRICE FOR EQUAL TO EQUAL COMPETITION, AND ANOTHER THING IS THE QUATE YEAR FOR 2 YEARS PRODUCTS IT IS ALWAYS MISSING SOME PRODUCT AND IN CRUCIAL TIMES FOR OUR BUSINESS.
2730;8;For the complete portfolio for soybean, wheat and corn crops.
2731;9;high quality products, reliable company and would be
2732;8;YOU SELL QUALITY PRODUCTS
2733;9;Excellent quality product.
2734;8;CREDIBILITY, PORTFOLIO, LOGISTICS
2735;8;Basf is a supplier that presents credibility, ethics, partnership, know-how and competitiveness.
2736;9;I have a lot of contact with the SC team and I consider them very transparent with the information. I believe that makes a difference in everyday life. Even if the news is not what we want to hear, the fact that communication is done quickly and cleanly helps us in the decisions we will make.
2737;8;commitment
2738;8;"Suvinil is a sensitive brand, it has a different touch, a rear that really relates to the customer. The products are perfect with unsurpassed quality.
 Not only does it sell but teaches you how to use it, that's the difference!

 My shopping experience with Suvinil has always been great!"
2739;9;A company that is always up-to-date, positive, encouraging all employees to reinvent themselves in this critical period that we are experiencing.
2740;10;Excellent products and professionals
2741;9;CONFIDENCE IN PRODUCTS
2742;9;Product of quality, durability, excellent coverage and resistance.
2743;9;Excellent quality, service and technical support ...
2744;8;Quality and effective products in the field
2745;8;A world-class company with quality products for the needs of the field and its farmers.
2746;9;LARGE MARKET LEADING COMPANY
2747;9;Reliable ink!
2748;8;We work with Basf a Maia for 35 years and we are partners
2749;10;Extremely solid, competent, fair and reliable brand
2750;10;Excellent service provided by the commercial manager and support with the development of new projects.
2751;8;reputable and well structured company
2752;10;"Team BASF works in partnership in the daily challenges;
 Excellent OTD even with the difficulties of Covid-19;
 We have no quality problems, being achieving PPM goals, PPAP validation, etc;
 Commercial agreements value partnership and common sense."
2753;10;quality, service,
2754;10;QUALITY
2755;10;Quality products
2756;8;they are very good products
2757;8;Company highly regarded in the market, excellent products and service.
2758;10;For the quality of the products, service and reliability.
2759;10;Solid and reliable company.
2760;10;Effective participation in meetings in an assertive manner.
2761;10;they are very effective products.
2762;10;Great products and great company
2763;8;Quality product
2764;8;I trust BASF's know-how, as well as the commitment and engagement of all the collaborators I had contact with.
2765;9;"Positive points, new suvinil with more flexibility in negotiation, well structured company to support sell lin .

 downside, delivery and lack of merchandise"
2766;8;Knowing that basf is a quality company... it's always good to improve more and more to win more customers...
2767;10;BASF has worked hard towards customer service in the last few years, starting from a plastered company full of rules for a more agile company.
2768;8;It is a good company, with a very complete portfolio.
2769;8;Transparency and seriousness
2770;10;Because Basf is a serious company with high quality products.
2771;9;It is not easy to work with Basf as a supplier. It has good products but bad service. There is an internal disorganization. And difficulty making decisions. It seems to me to be a very old-fashioned company, not very flexible and that is managed with hierarchical levels like in the army.
2772;8;Great products and top-notch service
2773;10;I think there is a complete portfolio and a very understandable business scheme, very well-defined policies.
2774;8;Responsible company and partner.
2775;8;They are quality products, always developing new products and following up on those already positioned, continue if
2776;9;excellent quality products, good coverage. good performance and the perfect shades for each environment
2777;10;"Today BASF has become an even more strategic supplier, not only for A.Raymond Brasil, but for the A.Raymond group.
 Right now we are very fond of partnership, price, quality, and expecting an improvement in Lead Time"
2778;9;The note recorded above, is due to the company having a robust portfolio.
2779;10;Basf Brasil has always been a good business partner, offering suggestions for improvements and reactive to problems.
2780;10;Quality Products
2781;10;Solid, reliable company with a competitive portfolio.
2782;9;Basf has a policy that follows my values. Too good to work
2783;10;For having confidence in BASF products and guaranteeing that I will be supported by the company.
2784;9;Excellent service and flexibility in this difficult time that we are going through.
2785;8;great portfolio, complete line, innovation company
2786;10;Wide range of excellent quality products
2787;9;They give attention and solution in a timely manner helping to keep a good control of the account registration
2788;9;EXCELLENT MULTINATIONAL, HIGH PERFOMANCE PRODUCTS IN THE FIELD, COMMERCIAL REPRESENTATIVE WITH THE WHOLE TEAM.
2789;8;Excellent products, in quality, performance of their products, and quality of business and attention from their regional offices.
2790;10;for the seriousness that how basf serves us
2791;9;DELAY IN PRODUCT DELIVERY
2792;9;QUALITY AND SERVICE
2793;9;The whole team is very committed and dedicated, they solve any question and are attentive to changes in the market.
2794;10;Company would be, transparent, with excellent products and staff.
2795;9;GREAT PORTFOLIO
2796;9;ABASF BEHIND A LOT OF SAFETY.
2797;8;Due to intransigence for changes to information in documentation.
2798;10;Service of excellence and transparency in all processes and relationships.
2799;10;Very good portfolio
2800;9;"Trust, service, partnership.
 Customer demand for products with different situations"
2801;9;Service and quality superior to any other!
2802;8;Quality and commitment.
2803;10;Credibility, fair price, relationship and always bringing news to the market.
2804;8;Reliable and highly efficient products.
2805;9;Exceptional service and partnership! Products with quality and little disapproval, providing excellent service!
2806;8;Quality products and excellent technical service.
2807;8;Good portfolio, poor delivery service (late)
2808;8;I consider it is a company that has very good products and good service
2809;10;It seems to me a very good company, with good quality products
2810;8;"Quality products
 Agility in service
 Flexibility in negotiations"
